,CMName,CMID,Key_SD5,Name_SD5,Key_SD6,Name_SD6
110,Botswanan,SM251150,Q84: 9990; COUNTRY: 2,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 3,"National identity only, or 'doesnt think of self in those terms'"
111,Bozo,SM250126,Q84: 504; COUNTRY: 11,Bozo,Q87: 504; COUNTRY: 18,Bozo
112,Buja,SM251022,Q84: 874; COUNTRY: 20,Buja,Q87: 870; COUNTRY: 36,Buja
113,Bulsa,SM250132,Q84: 275; COUNTRY: 5,Bulsa,Q87: 277; COUNTRY: 11,Bulsa
114,Burundi-DK,SM251310,Q84: 9999; COUNTRY: 25,Don't know,,
115,Burundi-Others,SM251308,Q84: 9995; COUNTRY: 25,Others,,
116,Burundi-Refused,SM251309,Q84: 9998; COUNTRY: 25,Refused,,
117,Burundian,SM251307,Q84: 9990; COUNTRY: 25,"National identity only, or ""doesn't think of self in those terms""",,
118,Busa,SM250137,Q84: 108; COUNTRY: 1,Boo,,
119,Buzu,SM250990,Q84: 502; COUNTRY: 11,Bella,Q87: 502; COUNTRY: 18,Bella
120,Bwamu,SM7385,Q84: 192; COUNTRY: 3,Bwaba,Q87: 192; COUNTRY: 4,Bwana
121,Bwile,SM250861,Q84: 848; COUNTRY: 19,Bwile,,
122,Cameroon-DK,SM251153,Q84: 9999; COUNTRY: 26,Don't know,Q87: 9999; COUNTRY: 6,Don't know
123,Cameroon-Missing,SM251154,Q84: -1; COUNTRY: 26,Missing,Q87: -1; COUNTRY: 6,Missing
124,Cameroon-Refused,SM251312,Q84: 9998; COUNTRY: 26,Refused,,
125,Cameroonian,SM251311,Q84: 9990; COUNTRY: 26,"National identity only, or ""doesn't think of self in those terms""",,
126,Cape Coloured,SM454490,Q84: 7; COUNTRY: 16,Coloured,Q87: 14; COUNTRY: 28,Coloured
127,Cape Verde-African,SM251156,Q84: 221; COUNTRY: 4,African,Q87: 6; COUNTRY: 7,African
128,Cape Verde-American or European,SM251157,Q84: 222; COUNTRY: 4,American or european,Q87: 222; COUNTRY: 7,American or European
129,Cape Verde-DK,SM251158,Q84: 9999; COUNTRY: 4,Don't know,Q87: 9999; COUNTRY: 7,Don't know
130,Cape Verde-Other,SM251160,Q84: 9995; COUNTRY: 4,Others,Q87: 9995; COUNTRY: 7,Other
131,Cape Verde-Refused to answer,SM251161,Q84: 9998; COUNTRY: 4,Refused,Q87: 9998; COUNTRY: 7,Refused to answer
132,Cape Verdean,SM252595,Q84: 9990; COUNTRY: 4,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 7,"National identity only, or 'doesnt think of self in those terms'"
133,Caprivi languages (excluding Lozi),SM250862,Q84: 582; COUNTRY: 13,Caprivian,Q87: 582; COUNTRY: 22,Caprivian
134,Central Kanuri,SM250344,Q84: 628; COUNTRY: 14,Kanuri,Q87: 18; COUNTRY: 23,Kanuri
135,Central Kanuri,SM250344,Q84: 628; COUNTRY: 14,Kanuri,Q87: 18; COUNTRY: 24,Kanuri
136,Central Kanuri,SM250344,Q84: 1104; COUNTRY: 23,Kanouri,Q87: 18; COUNTRY: 23,Kanuri
137,Central Kanuri,SM250344,Q84: 1104; COUNTRY: 23,Kanouri,Q87: 18; COUNTRY: 24,Kanuri
138,Chagga,SM250156,Q84: 741; COUNTRY: 17,Kichaga,Q87: 741; COUNTRY: 31,Wachaga
139,Chakosi,SM250037,Q84: 1160; COUNTRY: 24,Tchokossi (Anoufom),Q87: 1160; COUNTRY: 32,Tchokossi (Anoufom)
140,Chamba (Daka and Leko),SM250661,Q84: 2621; COUNTRY: 14,Chamba,,
141,"Chaouia (Aures, Algeria)",SM250727,,,Q87: 1421; COUNTRY: 1,Chaoui
142,Chewa,SM250160,Q84: 6; COUNTRY: 12,Chewa,Q87: 13; COUNTRY: 35,Chewa
143,Chewa,SM250160,Q84: 6; COUNTRY: 12,Chewa,Q87: 463; COUNTRY: 17,Chewu
144,Chewa,SM250160,Q84: 6; COUNTRY: 12,Chewa,Q87: 13; COUNTRY: 36,Chewa
145,Chewa,SM250160,Q84: 881; COUNTRY: 20,Chewa,Q87: 13; COUNTRY: 35,Chewa
146,Chewa,SM250160,Q84: 881; COUNTRY: 20,Chewa,Q87: 463; COUNTRY: 17,Chewu
147,Chewa,SM250160,Q84: 881; COUNTRY: 20,Chewa,Q87: 13; COUNTRY: 36,Chewa
148,Chewa,SM250160,Q84: 463; COUNTRY: 10,Chewa,Q87: 13; COUNTRY: 35,Chewa
149,Chewa,SM250160,Q84: 463; COUNTRY: 10,Chewa,Q87: 463; COUNTRY: 17,Chewu
150,Chewa,SM250160,Q84: 463; COUNTRY: 10,Chewa,Q87: 13; COUNTRY: 36,Chewa
151,Chewa,SM250160,Q84: 6; COUNTRY: 19,Chewa,Q87: 13; COUNTRY: 35,Chewa
152,Chewa,SM250160,Q84: 6; COUNTRY: 19,Chewa,Q87: 463; COUNTRY: 17,Chewu
153,Chewa,SM250160,Q84: 6; COUNTRY: 19,Chewa,Q87: 13; COUNTRY: 36,Chewa
154,Chibarue,SM251017,Q84: 551; COUNTRY: 12,Barue,,
155,Chigorogonza,SM251031,Q84: 564; COUNTRY: 12,Gorongozi,,
156,Chikunda,SM251128,Q84: 880; COUNTRY: 20,Chikunda,Q87: 841; COUNTRY: 35,Kunda
157,Chikunda,SM251128,Q84: 841; COUNTRY: 19,Kunda,Q87: 841; COUNTRY: 35,Kunda
158,Chimanica,SM251041,Q84: 562; COUNTRY: 12,Manica,Q87: 865; COUNTRY: 36,Manyika
159,Chimanica,SM251041,Q84: 865; COUNTRY: 20,Manyika,Q87: 865; COUNTRY: 36,Manyika
160,Chinese-Mauritius,SM250863,Q84: 901; COUNTRY: 21,Chenese,Q87: 901; COUNTRY: 19,Chinese
161,Chokwe,SM250162,,,Q87: 839; COUNTRY: 35,Chokwe
162,Chopi,SM487666,Q84: 545; COUNTRY: 12,Chope,Q87: 545; COUNTRY: 21,Chope
163,Cote D'Ivoiren,SM251162,Q84: 9990; COUNTRY: 27,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 8,"National identity only, or 'doesnt think of self in those terms'"
164,Cote d’Ivoire-DK,SM251314,Q84: 9999; COUNTRY: 27,Don't know,,
165,Cote d’Ivoire-Refused,SM251313,Q84: 9998; COUNTRY: 27,Refused,,
166,Daba,SM250867,Q84: 1240; COUNTRY: 26,Daba,Q87: 1240; COUNTRY: 6,Daba
167,Dafing,SM251025,Q84: 8; COUNTRY: 11,Dafing,Q87: 195; COUNTRY: 4,Marka
168,Dafing,SM251025,Q84: 8; COUNTRY: 11,Dafing,Q87: 505; COUNTRY: 18,Daffing
169,Dafing,SM251025,Q84: 8; COUNTRY: 3,Dafing,Q87: 195; COUNTRY: 4,Marka
170,Dafing,SM251025,Q84: 8; COUNTRY: 3,Dafing,Q87: 505; COUNTRY: 18,Daffing
171,Dafing,SM251025,Q84: 195; COUNTRY: 3,Marka,Q87: 195; COUNTRY: 4,Marka
172,Dafing,SM251025,Q84: 195; COUNTRY: 3,Marka,Q87: 505; COUNTRY: 18,Daffing
173,Dagomba,SM7416,Q84: 263; COUNTRY: 5,Dagomba,Q87: 263; COUNTRY: 11,Dagomba
174,Damara,SM250175,Q84: 589; COUNTRY: 13,Damara,Q87: 589; COUNTRY: 22,Damara
175,Damara,SM250175,Q84: 157; COUNTRY: 2,Modamara,Q87: 589; COUNTRY: 22,Damara
176,Dan,SM250177,Q84: 384; COUNTRY: 8,Gio,Q87: 384; COUNTRY: 15,Gio
177,Degema,SM251085,,,Q87: 646; COUNTRY: 24,Degema
178,Dendi,SM250183,Q84: 103; COUNTRY: 1,Dendi,Q87: 103; COUNTRY: 2,Dendi
179,Dey,SM250868,Q84: 382; COUNTRY: 8,Dei,Q87: 382; COUNTRY: 15,Dei
180,Dii,SM250870,Q84: 1241; COUNTRY: 26,Dii,Q87: 1241; COUNTRY: 6,Dii
181,Diola,SM250332,Q84: 665; COUNTRY: 15,Diola,Q87: 665; COUNTRY: 26,Diola
182,Dioula,SM250216,Q84: 181; COUNTRY: 3,Dioula,Q87: 181; COUNTRY: 4,Dioula
183,Doe,SM250922,Q84: 777; COUNTRY: 17,Mdoe,,
184,Dogon,SM250209,Q84: 506; COUNTRY: 11,Dogon,Q87: 506; COUNTRY: 18,Dogon
185,Ebira,SM250222,Q84: 624; COUNTRY: 14,Ebira,Q87: 624; COUNTRY: 24,Ebira
186,Echuwabo,SM250164,Q84: 548; COUNTRY: 12,Chuabo,Q87: 548; COUNTRY: 21,Chuabo
187,Edo,SM250106,Q84: 632; COUNTRY: 14,Edo,Q87: 632; COUNTRY: 24,Edo
188,Efik,SM250871,Q84: 623; COUNTRY: 14,Efik,Q87: 623; COUNTRY: 24,Efik
189,Eggon,SM251086,,,Q87: 647; COUNTRY: 24,Eggon
190,English-Kenya,SM251087,,,Q87: 1; COUNTRY: 13,English
191,English-Liberia,SM250873,Q84: 9; COUNTRY: 8,English,Q87: 1; COUNTRY: 15,English
192,English-South Africa,SM250874,Q84: 9; COUNTRY: 16,English,Q87: 1; COUNTRY: 28,English
193,English-Zambia,SM250875,Q84: 9; COUNTRY: 19,English,,
194,Esan,SM250876,Q84: 650; COUNTRY: 14,Esan,,
195,Ewe,SM250232,Q84: 1140; COUNTRY: 24,Ewé,Q87: 1140; COUNTRY: 32,Ewe
196,Ewe,SM250232,Q84: 1140; COUNTRY: 24,Ewé,Q87: 261; COUNTRY: 11,Ewe/Anglo
197,Ewe,SM250232,Q84: 261; COUNTRY: 5,Ewe/Anglo,Q87: 1140; COUNTRY: 32,Ewe
198,Ewe,SM250232,Q84: 261; COUNTRY: 5,Ewe/Anglo,Q87: 261; COUNTRY: 11,Ewe/Anglo
199,Fali (Cameroon),SM253361,Q84: 1242; COUNTRY: 26,Fali,Q87: 1242; COUNTRY: 6,Fali
200,Fang-generic,SM250234,,,Q87: 1700; COUNTRY: 10,Fang
201,Fipa,SM250237,Q84: 755; COUNTRY: 17,Kifipa,Q87: 755; COUNTRY: 31,Wafipa
202,Fon-generic,SM462058,Q84: 10; COUNTRY: 1,Fon,Q87: 15; COUNTRY: 32,Fon
203,Fon-generic,SM462058,Q84: 10; COUNTRY: 1,Fon,Q87: 15; COUNTRY: 2,Fon
204,Fon-generic,SM462058,Q84: 10; COUNTRY: 24,Fon,Q87: 15; COUNTRY: 32,Fon
205,Fon-generic,SM462058,Q84: 10; COUNTRY: 24,Fon,Q87: 15; COUNTRY: 2,Fon
206,Frafra,SM250878,Q84: 272; COUNTRY: 5,Frafra,Q87: 272; COUNTRY: 11,Frafra
207,Franco-Mauritians,SM250877,Q84: 902; COUNTRY: 21,Euro-Mauritian (white),Q87: 902; COUNTRY: 19,Euro-Mauritian (White)
208,"Fulani-Western Niger (BF, Niger)",SM250807,Q84: 182; COUNTRY: 3,Peulh,Q87: 182; COUNTRY: 4,Peuhl
209,"Fulani-Western Niger (BF, Niger)",SM250807,Q84: 182; COUNTRY: 3,Peulh,Q87: 1102; COUNTRY: 23,Fulfuldé
210,"Fulani-Western Niger (BF, Niger)",SM250807,Q84: 27; COUNTRY: 23,Peulh,Q87: 182; COUNTRY: 4,Peuhl
211,"Fulani-Western Niger (BF, Niger)",SM250807,Q84: 27; COUNTRY: 23,Peulh,Q87: 1102; COUNTRY: 23,Fulfuldé
212,GaDAngme,SM250991,Q84: 262; COUNTRY: 5,Ga/Adangbe,Q87: 262; COUNTRY: 11,Ga/Adangbe
213,Gana,SM251088,,,Q87: 507; COUNTRY: 18,Gana
214,Garre,SM251089,,,Q87: 316; COUNTRY: 13,Garre
215,Gbagyi,SM250880,Q84: 652; COUNTRY: 14,Gbagyi,,
216,Gbandi,SM250071,Q84: 383; COUNTRY: 8,Gbandi,Q87: 383; COUNTRY: 15,Gbandi
217,Ge,SM250252,Q84: 1141; COUNTRY: 24,Mina (Guen),Q87: 1141; COUNTRY: 32,Mina (Guen)
218,German Namibians,SM493648,Q84: 584; COUNTRY: 13,German,Q87: 584; COUNTRY: 22,German
219,Ghana-DK,SM251315,Q84: 9999; COUNTRY: 5,Don't know,,
220,Ghana-other northern tribes,SM251004,Q84: 283; COUNTRY: 5,Other Northern tribes,Q87: 9995; COUNTRY: 11,Other
221,Ghanaian,SM251164,,,Q87: 9990; COUNTRY: 11,"National identity only, or 'doesnt think of self in those terms'"
222,Gogo,SM250259,Q84: 753; COUNTRY: 17,Kigogo,Q87: 753; COUNTRY: 31,Wagogo
223,Goin,SM250151,Q84: 193; COUNTRY: 3,Goin,Q87: 193; COUNTRY: 4,Goin
224,Gola,SM250260,Q84: 385; COUNTRY: 8,Gola,Q87: 385; COUNTRY: 15,Gola
225,Gonja,SM251030,Q84: 281; COUNTRY: 5,Gonja,Q87: 271; COUNTRY: 11,Gonja
226,Gourmatches,SM250264,Q84: 1105; COUNTRY: 23,Gourmatché,Q87: 183; COUNTRY: 4,Gourmantchéma
227,Gourmatches,SM250264,Q84: 1105; COUNTRY: 23,Gourmatché,Q87: 1105; COUNTRY: 23,Gourmantchéma
228,Gourmatches,SM250264,Q84: 1105; COUNTRY: 23,Gourmatché,Q87: 1152; COUNTRY: 32,Gourmantchéma
229,Gourmatches,SM250264,Q84: 1105; COUNTRY: 23,Gourmatché,Q87: 276; COUNTRY: 11,Gourmantchéma
230,Gourmatches,SM250264,Q84: 1154; COUNTRY: 24,Gourma,Q87: 183; COUNTRY: 4,Gourmantchéma
231,Gourmatches,SM250264,Q84: 1154; COUNTRY: 24,Gourma,Q87: 1105; COUNTRY: 23,Gourmantchéma
232,Gourmatches,SM250264,Q84: 1154; COUNTRY: 24,Gourma,Q87: 1152; COUNTRY: 32,Gourmantchéma
233,Gourmatches,SM250264,Q84: 1154; COUNTRY: 24,Gourma,Q87: 276; COUNTRY: 11,Gourmantchéma
234,Gourmatches,SM250264,Q84: 273; COUNTRY: 5,Gruma,Q87: 183; COUNTRY: 4,Gourmantchéma
235,Gourmatches,SM250264,Q84: 273; COUNTRY: 5,Gruma,Q87: 1105; COUNTRY: 23,Gourmantchéma
236,Gourmatches,SM250264,Q84: 273; COUNTRY: 5,Gruma,Q87: 1152; COUNTRY: 32,Gourmantchéma
237,Gourmatches,SM250264,Q84: 273; COUNTRY: 5,Gruma,Q87: 276; COUNTRY: 11,Gourmantchéma
238,Gourmatches,SM250264,Q84: 183; COUNTRY: 3,Goumantche,Q87: 183; COUNTRY: 4,Gourmantchéma
239,Gourmatches,SM250264,Q84: 183; COUNTRY: 3,Goumantche,Q87: 1105; COUNTRY: 23,Gourmantchéma
240,Gourmatches,SM250264,Q84: 183; COUNTRY: 3,Goumantche,Q87: 1152; COUNTRY: 32,Gourmantchéma
241,Gourmatches,SM250264,Q84: 183; COUNTRY: 3,Goumantche,Q87: 276; COUNTRY: 11,Gourmantchéma
242,Gowa,SM251029,Q84: 852; COUNTRY: 19,Goba,,
243,Grunshi,SM250992,Q84: 184; COUNTRY: 3,Gourounsi,Q87: 184; COUNTRY: 4,Gourounsi
244,Guan,SM251032,Q84: 280; COUNTRY: 5,Guan,,
245,Guerze,SM253725,Q84: 1303; COUNTRY: 28,Guérzé,Q87: 1303; COUNTRY: 12,Guerzé
246,Guidar,SM250882,Q84: 1245; COUNTRY: 26,Guidar,Q87: 1243; COUNTRY: 6,Guider
247,Guinea-DK,SM251317,Q84: 9999; COUNTRY: 28,Don't know,,
248,Guinean,SM251316,Q84: 9990; COUNTRY: 28,"National identity only, or ""doesn't think of self in those terms""",,
249,Guiziga,SM250587,Q84: 1246; COUNTRY: 26,Guiziga,Q87: 2225; COUNTRY: 6,Guiziga
250,Gur (Voltaique),SM250993,Q84: 1264; COUNTRY: 27,Gur (Voltaïque),Q87: 1264; COUNTRY: 8,Gur (Voltaïque)
251,Gwari,SM250247,Q84: 644; COUNTRY: 14,Gwari,Q87: 644; COUNTRY: 24,Gwari
252,Gwoza,SM250883,Q84: 655; COUNTRY: 14,Gwoza,,
253,Ha,SM250279,Q84: 760; COUNTRY: 17,Mha,Q87: 761; COUNTRY: 31,Waha
254,Hangaza,SM250923,Q84: 761; COUNTRY: 17,Mhangaza,,
255,Hausa Niger & Nigeria,SM253862,Q84: 11; COUNTRY: 23,Haoussa,Q87: 17; COUNTRY: 24,Hausa
256,Hausa Niger & Nigeria,SM253862,Q84: 11; COUNTRY: 23,Haoussa,Q87: 16; COUNTRY: 23,Haoussa
257,Hausa Niger & Nigeria,SM253862,Q84: 12; COUNTRY: 14,Hausa,Q87: 17; COUNTRY: 24,Hausa
258,Hausa Niger & Nigeria,SM253862,Q84: 12; COUNTRY: 14,Hausa,Q87: 16; COUNTRY: 23,Haoussa
259,Hausa-Cameroon/CAR,SM253863,Q84: 11; COUNTRY: 26,Haoussa,Q87: 16; COUNTRY: 6,Haoussa
260,"Hausa-Far West (Togo, Benin, BF, Mali)",SM250039,Q84: 11; COUNTRY: 24,Haoussa,Q87: 17; COUNTRY: 11,Haoussa
261,"Hausa-Far West (Togo, Benin, BF, Mali)",SM250039,Q84: 11; COUNTRY: 24,Haoussa,Q87: 16; COUNTRY: 32,Haoussa
262,"Hausa-Far West (Togo, Benin, BF, Mali)",SM250039,Q84: 11; COUNTRY: 3,Haoussa,Q87: 17; COUNTRY: 11,Haoussa
263,"Hausa-Far West (Togo, Benin, BF, Mali)",SM250039,Q84: 11; COUNTRY: 3,Haoussa,Q87: 16; COUNTRY: 32,Haoussa
264,"Hausa-Far West (Togo, Benin, BF, Mali)",SM250039,Q84: 12; COUNTRY: 5,Hausa,Q87: 17; COUNTRY: 11,Haoussa
265,"Hausa-Far West (Togo, Benin, BF, Mali)",SM250039,Q84: 12; COUNTRY: 5,Hausa,Q87: 16; COUNTRY: 32,Haoussa
266,Haya,SM250296,Q84: 742; COUNTRY: 17,Kihaya,Q87: 742; COUNTRY: 31,Wahaya
267,Hehe,SM250297,Q84: 746; COUNTRY: 17,Kihehe,Q87: 746; COUNTRY: 31,Wahehe
268,Herero,SM250298,Q84: 581; COUNTRY: 13,Herero,Q87: 145; COUNTRY: 3,Moherero
269,Herero,SM250298,Q84: 581; COUNTRY: 13,Herero,Q87: 581; COUNTRY: 22,Herero
270,Herero,SM250298,Q84: 145; COUNTRY: 2,Moherero,Q87: 145; COUNTRY: 3,Moherero
271,Herero,SM250298,Q84: 145; COUNTRY: 2,Moherero,Q87: 581; COUNTRY: 22,Herero
272,Hindu,SM253897,Q84: 903; COUNTRY: 21,Hindu,Q87: 903; COUNTRY: 19,Hindu
273,Hlengwe,SM250299,Q84: 555; COUNTRY: 12,Matswa,,
274,Hurutshe,SM251046,Q84: 153; COUNTRY: 2,Mohurutshe,Q87: 153; COUNTRY: 3,Mohurutshe
275,Hutu,SM251033,Q84: 1180; COUNTRY: 25,Hutu,,
276,Hwesa,SM250886,Q84: 879; COUNTRY: 20,Hwesa,,
277,Hyam,SM250890,Q84: 2622; COUNTRY: 14,Jaba,,
278,Ibaji,SM251034,Q84: 656; COUNTRY: 14,Ibaji,,
279,Ibibio,SM250308,Q84: 627; COUNTRY: 14,Ibibio,Q87: 627; COUNTRY: 24,Ibibio
280,Idoma,SM250309,Q84: 635; COUNTRY: 14,Idoma,Q87: 635; COUNTRY: 24,Idoma
281,Ifè (Ana),SM250996,Q84: 1147; COUNTRY: 24,Ifè (Ana),Q87: 1147; COUNTRY: 32,Ife (Ana)
282,Igala,SM251035,Q84: 633; COUNTRY: 14,Igala,Q87: 633; COUNTRY: 24,Igala
283,Igbo,SM250597,Q84: 621; COUNTRY: 14,Igbo,Q87: 621; COUNTRY: 24,Igbo
284,Ijaw,SM250324,Q84: 631; COUNTRY: 14,Ijaw,Q87: 631; COUNTRY: 24,Ijaw
285,Ika,SM250887,Q84: 651; COUNTRY: 14,Ika,,
286,Ikalanga,SM250894,Q84: 148; COUNTRY: 2,Mokalaka/Mokalanga,Q87: 148; COUNTRY: 3,Mkalanga
287,Ikalanga,SM250894,Q84: 148; COUNTRY: 2,Mokalaka/Mokalanga,Q87: 868; COUNTRY: 36,Kalanga
288,Ikalanga,SM250894,Q84: 868; COUNTRY: 20,Kalanga,Q87: 148; COUNTRY: 3,Mkalanga
289,Ikalanga,SM250894,Q84: 868; COUNTRY: 20,Kalanga,Q87: 868; COUNTRY: 36,Kalanga
290,Ikwere,SM250888,Q84: 637; COUNTRY: 14,Ikwere,Q87: 637; COUNTRY: 24,Ikwere
291,Ila,SM250317,Q84: 837; COUNTRY: 19,Ila,Q87: 837; COUNTRY: 35,Ila
292,Indian-SA,SM250889,Q84: 713; COUNTRY: 16,Indian,Q87: 713; COUNTRY: 28,Indian
293,Iragw,SM250319,Q84: 2743; COUNTRY: 17,Mmbulu,Q87: 768; COUNTRY: 31,Wambulu
294,Iragw,SM250319,Q84: 2743; COUNTRY: 17,Mmbulu,Q87: 762; COUNTRY: 31,Wairaq
295,Iragw,SM250319,Q84: 762; COUNTRY: 17,Muiraqi,Q87: 768; COUNTRY: 31,Wambulu
296,Iragw,SM250319,Q84: 762; COUNTRY: 17,Muiraqi,Q87: 762; COUNTRY: 31,Wairaq
297,Iramba,SM250571,Q84: 757; COUNTRY: 17,Kinyiramba,Q87: 757; COUNTRY: 31,Wanyiramba
298,Ishinde/Luapula/Ndembu Lunda,SM250450,Q84: 830; COUNTRY: 19,Lunda,Q87: 830; COUNTRY: 35,Lunda
299,Isoko,SM250321,Q84: 626; COUNTRY: 14,Isoko,Q87: 626; COUNTRY: 24,Isoko
300,Itsekiri,SM250320,Q84: 636; COUNTRY: 14,Itsekiri,,
301,Iyala,SM250576,,,Q87: 655; COUNTRY: 24,Yala
302,Jakhanke,SM250869,Q84: 1309; COUNTRY: 28,Diakanké,,
303,Jita,SM250927,Q84: 764; COUNTRY: 17,Mjita,Q87: 764; COUNTRY: 31,Wajita
304,Jukun Takum,SM250803,Q84: 643; COUNTRY: 14,Jukun,Q87: 643; COUNTRY: 24,Jukun
305,Kabye Togo,SM251080,Q84: 1142; COUNTRY: 24,Kabyè,Q87: 1142; COUNTRY: 32,Kabye
306,Kabyle,SM250334,,,Q87: 1422; COUNTRY: 1,Kabyle
307,Kagoma,SM251090,,,Q87: 648; COUNTRY: 24,Kagoma
308,Kaguru,SM251104,,,Q87: 765; COUNTRY: 31,Wakaguru
309,Kakwa,SM250892,Q84: 806; COUNTRY: 18,Kakwa,,
310,Kalabari,SM250893,Q84: 640; COUNTRY: 14,Kalabari,Q87: 640; COUNTRY: 24,Kalabari
311,Kalenjin,SM250895,Q84: 304; COUNTRY: 6,Kalenjin,Q87: 304; COUNTRY: 13,Kalenjin
312,Kamba,SM250338,Q84: 303; COUNTRY: 6,Kamba,Q87: 303; COUNTRY: 13,Kamba
313,Kamwe,SM250342,Q84: 1248; COUNTRY: 26,Kapsiki,Q87: 1245; COUNTRY: 6,Kapsiki
314,Kaonde subgoup,SM250345,Q84: 827; COUNTRY: 19,Kaonde,Q87: 827; COUNTRY: 35,Kaonde
315,Karago,SM250337,Q84: 509; COUNTRY: 11,Kakolo,Q87: 509; COUNTRY: 18,Kakolo
316,Karamojong,SM250349,Q84: 799; COUNTRY: 18,Karamajong,Q87: 799; COUNTRY: 34,Karamajong
317,Karanga (Shona),SM250347,Q84: 864; COUNTRY: 20,Karanga,Q87: 864; COUNTRY: 36,Karanga
318,Kasem,SM250896,Q84: 196; COUNTRY: 3,Kassena,Q87: 196; COUNTRY: 4,Kassena
319,Kasem,SM250896,Q84: 271; COUNTRY: 5,Kasina,Q87: 196; COUNTRY: 4,Kassena
320,Katab/Atyap/Kagoro,SM250784,Q84: 657; COUNTRY: 14,Kataf,,
321,"Kavango (Rukwangali, Rumanyo, Hambukushu)",SM250998,Q84: 583; COUNTRY: 13,"Kavango (Rukwangali, Rumanyo, Hambukushu)",Q87: 583; COUNTRY: 22,"Kavango (Rukwangali, Rumanyo, Hambukushu)"
322,Kenya-Missing,SM251167,Q84: -1; COUNTRY: 6,Missing,Q87: -1; COUNTRY: 13,Missing
323,Kenya-Refused,SM251318,Q84: 9998; COUNTRY: 6,Refused,,
324,Kenyan,SM251168,Q84: 9990; COUNTRY: 6,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 13,"National identity only, or 'doesnt think of self in those terms'"
325,Kerewe,SM250359,Q84: 2742; COUNTRY: 17,Mkerewe,,
326,Kgatla,SM251048,Q84: 140; COUNTRY: 2,Mokgatla,Q87: 355; COUNTRY: 14,Mokhatla
327,Kgatla,SM251048,Q84: 140; COUNTRY: 2,Mokgatla,Q87: 140; COUNTRY: 3,Mokgatla
328,Kgatla,SM251048,Q84: 355; COUNTRY: 7,Mokhatla,Q87: 355; COUNTRY: 14,Mokhatla
329,Kgatla,SM251048,Q84: 355; COUNTRY: 7,Mokhatla,Q87: 140; COUNTRY: 3,Mokgatla
330,Khassonke,SM250813,Q84: 510; COUNTRY: 11,Khassonké,Q87: 510; COUNTRY: 18,Khassonké
331,Khoakhoa,SM251092,Q84: 352; COUNTRY: 7,Lekhoakhoa,Q87: 352; COUNTRY: 14,Lekhoakhoa
332,Khurutshe,SM251050,Q84: 154; COUNTRY: 2,Mokhurutshe,Q87: 154; COUNTRY: 3,Mokhurutshe
333,Kikuyu,SM250365,Q84: 300; COUNTRY: 6,Kikuyu,Q87: 300; COUNTRY: 13,Kikuyu
334,Kimuani,SM250944,Q84: 557; COUNTRY: 12,Muani,,
335,Kinga,SM250594,Q84: 765; COUNTRY: 17,Mkinga,Q87: 2748; COUNTRY: 31,Wazanaki
336,Kisii,SM250277,Q84: 305; COUNTRY: 6,Kisii,Q87: 305; COUNTRY: 13,Kisii
337,Kissi (Northern),SM250582,Q84: 13; COUNTRY: 22,Kissi,Q87: 19; COUNTRY: 27,Kissi
338,Kissi (Northern),SM250582,Q84: 13; COUNTRY: 22,Kissi,Q87: 1304; COUNTRY: 12,Kissien
339,Kissi (Northern),SM250582,Q84: 1304; COUNTRY: 28,Kissien,Q87: 19; COUNTRY: 27,Kissi
340,Kissi (Northern),SM250582,Q84: 1304; COUNTRY: 28,Kissien,Q87: 1304; COUNTRY: 12,Kissien
341,Kissi Southern,SM254768,Q84: 13; COUNTRY: 8,Kissi,Q87: 19; COUNTRY: 15,Kissi
342,Kita Maninkanan,SM250372,Q84: 20; COUNTRY: 11,Malinké,Q87: 23; COUNTRY: 18,Malinké
343,Klao,SM254978,Q84: 16; COUNTRY: 22,Kru,Q87: 21; COUNTRY: 27,Kru
344,Klao,SM254978,Q84: 16; COUNTRY: 22,Kru,Q87: 21; COUNTRY: 15,Kru
345,Klao,SM254978,Q84: 16; COUNTRY: 8,Kru,Q87: 21; COUNTRY: 27,Kru
346,Klao,SM254978,Q84: 16; COUNTRY: 8,Kru,Q87: 21; COUNTRY: 15,Kru
347,Konkomba,SM250377,Q84: 14; COUNTRY: 24,Konkomba,Q87: 20; COUNTRY: 11,Konkomba
348,Konkomba,SM250377,Q84: 14; COUNTRY: 24,Konkomba,Q87: 20; COUNTRY: 32,Konkomba
349,Konkomba,SM250377,Q84: 14; COUNTRY: 5,Konkomba,Q87: 20; COUNTRY: 11,Konkomba
350,Konkomba,SM250377,Q84: 14; COUNTRY: 5,Konkomba,Q87: 20; COUNTRY: 32,Konkomba
351,Kono (Sierra Leone),SM250379,Q84: 933; COUNTRY: 22,Kono,Q87: 933; COUNTRY: 27,Kono
352,Koranko,SM250396,Q84: 1307; COUNTRY: 28,Kouranko,Q87: 935; COUNTRY: 27,Kuranko
353,Koranko,SM250396,Q84: 935; COUNTRY: 22,Kuranko,Q87: 935; COUNTRY: 27,Kuranko
354,Korekore,SM250384,Q84: 863; COUNTRY: 20,Korekore,Q87: 863; COUNTRY: 36,Korekore
