,CMName,CMID,Key_SD5,Name_SD5,Key_SD6,Name_SD6
786,Tonga (Zambia),SM258139,Q84: 30; COUNTRY: 20,Tonga,Q87: 41; COUNTRY: 35,Tonga
787,Tongwe,SM250942,Q84: 766; COUNTRY: 17,Mtongwe,,
788,Touareg,SM251009,Q84: 1103; COUNTRY: 23,Touareg,Q87: 1424; COUNTRY: 1,Tergui
789,Toubou,SM251010,Q84: 1107; COUNTRY: 23,Toubou,,
790,Toupouri,SM258156,Q84: 2225; COUNTRY: 26,Toupouri,Q87: 2222; COUNTRY: 6,Toupouri
791,Toussian,SM250783,Q84: 198; COUNTRY: 3,Toussian,Q87: 197; COUNTRY: 4,Toussian
792,Tsimihety,SM250768,Q84: 436; COUNTRY: 9,Tsimihety,Q87: 436; COUNTRY: 16,Tsimihety
793,Tsoa,SM250769,Q84: 147; COUNTRY: 2,Mosarwa,Q87: 147; COUNTRY: 3,Mosarwa
794,Tsogho,SM250770,,,Q87: 1706; COUNTRY: 10,Tsogho
795,Tswana,SM251105,Q84: 593; COUNTRY: 13,Tswana,Q87: 42; COUNTRY: 28,Tswana
796,Tswana,SM251105,Q84: 593; COUNTRY: 13,Tswana,Q87: 42; COUNTRY: 22,Tswana
797,Tswana,SM251105,Q84: 706; COUNTRY: 16,Setswana/Tswana,Q87: 42; COUNTRY: 28,Tswana
798,Tswana,SM251105,Q84: 706; COUNTRY: 16,Setswana/Tswana,Q87: 42; COUNTRY: 22,Tswana
799,Tumbatu,SM250943,Q84: 2755; COUNTRY: 17,Mtumbatu,Q87: 2746; COUNTRY: 31,Watumbatu
800,Tumbuka,SM250774,Q84: 31; COUNTRY: 10,Tumbuka,Q87: 43; COUNTRY: 17,Tumbuka
801,Tumbuka,SM250774,Q84: 31; COUNTRY: 10,Tumbuka,Q87: 43; COUNTRY: 35,Tumbuka
802,Tumbuka,SM250774,Q84: 31; COUNTRY: 19,Tumbuka,Q87: 43; COUNTRY: 17,Tumbuka
803,Tumbuka,SM250774,Q84: 31; COUNTRY: 19,Tumbuka,Q87: 43; COUNTRY: 35,Tumbuka
804,Turkana,SM250782,Q84: 312; COUNTRY: 6,Turkana,Q87: 312; COUNTRY: 13,Turkana
805,Tutsi,SM251076,Q84: 1181; COUNTRY: 25,Tutsi,,
806,Ugandan,SM251331,Q84: 9990; COUNTRY: 18,"National identity only, or ""doesn't think of self in those terms""",,
807,Urhobo,SM250982,Q84: 634; COUNTRY: 14,Urhobo,Q87: 634; COUNTRY: 24,Urhobo
808,Ushi,SM250045,Q84: 838; COUNTRY: 19,Ushi,Q87: 838; COUNTRY: 35,Ushi
809,Vai,SM250794,Q84: 32; COUNTRY: 22,Vai,Q87: 943; COUNTRY: 27,Vai
810,Vai,SM250794,Q84: 32; COUNTRY: 22,Vai,Q87: 395; COUNTRY: 15,Vai
811,Vai,SM250794,Q84: 32; COUNTRY: 8,Vai,Q87: 943; COUNTRY: 27,Vai
812,Vai,SM250794,Q84: 32; COUNTRY: 8,Vai,Q87: 395; COUNTRY: 15,Vai
813,Venda,SM250795,Q84: 33; COUNTRY: 20,Venda,Q87: 44; COUNTRY: 36,Venda
814,Venda,SM250795,Q84: 33; COUNTRY: 20,Venda,Q87: 44; COUNTRY: 28,Venda
815,Venda,SM250795,Q84: 33; COUNTRY: 16,Venda,Q87: 44; COUNTRY: 36,Venda
816,Venda,SM250795,Q84: 33; COUNTRY: 16,Venda,Q87: 44; COUNTRY: 28,Venda
817,Vezo,SM250983,Q84: 437; COUNTRY: 9,Vezo,Q87: 437; COUNTRY: 16,Vezo
